"location","price_rank","property_name","property_type","price_inr","price_per_sqft"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
"Ballygunge Kolkata","1","5 BHK House for Sale in Ballygunge Kolkata","5 BHK House","14500000.00","6769"
